year,quarter,district,open_rate,close_rate
2019,2,1000593,91,48
2019,2,1000592,117,49
2019,2,1000591,96,47
2019,2,1000590,90,48
2019,2,1000589,104,54
2019,2,1000588,108,46
2019,2,1000587,89,44
2019,2,1000586,107,54
2019,2,1000585,104,44
2019,2,1000584,72,44
2019,2,1000583,95,40
2019,2,1000582,111,47
2019,2,1000581,110,44
2019,2,1000580,103,44
2019,2,1000579,86,49
2019,2,1000578,115,52
2019,2,1000577,93,52
2019,2,1000576,98,53
2019,2,1000575,95,48
2019,2,1000574,93,50
2019,2,1000573,91,48
2019,2,1000572,99,55
2019,2,1000571,83,47
2019,2,1000570,89,47
2019,2,1000569,95,44
2019,2,1000568,139,59
2019,2,1000567,131,55
2019,2,1000566,96,45
2019,2,1000565,113,47
2019,2,1000564,94,48
2019,2,1000563,101,51
2019,2,1000562,81,51
2019,2,1000561,84,47
2019,2,1000560,87,44
2019,2,1000559,87,47
2019,2,1000558,93,50
2019,2,1000557,87,45
2019,2,1000556,92,47
2019,2,1000555,98,49
2019,2,1000554,109,44
2019,2,1000553,100,47
2019,2,1000552,102,47
2019,2,1000551,109,58
2019,2,1000550,108,49
2019,2,1000549,110,43
2019,2,1000548,134,63
2019,2,1000547,109,50
2019,2,1000546,139,56
2019,2,1000545,136,55
2019,2,1000544,114,47
2019,2,1000543,97,45
2019,2,1000542,132,58
2019,2,1000541,108,45
2019,2,1000540,109,49
2019,2,1000539,107,49
2019,2,1000538,100,53
2019,2,1000537,113,48
2019,2,1000536,119,47
2019,2,1000535,145,68
2019,2,1000534,101,53
2019,2,1000533,101,48
2019,2,1000532,92,50
2019,2,1000531,103,51
2019,2,1000530,105,44
2019,2,1000529,97,45
2019,2,1000528,93,47
2019,2,1000527,79,52
2019,2,1000526,102,52
2019,2,1000525,100,43
2019,2,1000524,105,52
2019,2,1000523,106,46
2019,2,1000522,77,43
2019,2,1000521,98,45
2019,2,1000520,103,48
2019,2,1000519,91,49
2019,2,1000518,98,52
2019,2,1000517,88,51
2019,2,1000516,166,67
2019,2,1000515,107,52
2019,2,1000514,83,53
2019,2,1000513,126,52
2019,2,1000512,96,53
2019,2,1000511,118,48
2019,2,1000510,111,46
2019,2,1000509,113,47
2019,2,1000508,110,48
2019,2,1000507,122,49
2019,2,1000506,128,62
2019,2,1000505,67,53
2019,2,1000504,96,47
