year,quarter,district,b_worker
2019,2,1000206,2569
2019,2,1000205,23971
2019,2,1000204,3199
2019,2,1000203,3197
2019,2,1000202,10101
2019,2,1000201,9893
2019,2,1000200,4746
2019,2,1000199,4908
2019,2,1000198,3575
2019,2,1000197,5253
2019,2,1000196,4491
2019,2,1000195,4576
2019,2,1000194,1669
2019,2,1000193,4248
2019,2,1000192,2317
2019,2,1000191,4345
2019,2,1000190,3310
2019,2,1000189,2273
2019,2,1000188,3731
2019,2,1000187,1728
2019,2,1000186,5175
2019,2,1000185,3672
2019,2,1000184,3283
2019,2,1000183,4590
2019,2,1000182,11118
2019,2,1000181,2322
2019,2,1000180,4680
2019,2,1000179,4261
2019,2,1000178,4321
2019,2,1000177,4317
2019,2,1000176,5672
2019,2,1000175,4598
2019,2,1000174,3256
2019,2,1000173,3461
2019,2,1000172,2046
2019,2,1000171,1192
2019,2,1000170,15058
2019,2,1000169,7141
2019,2,1000168,4651
2019,2,1000167,3585
2019,2,1000166,4838
2019,2,1000165,5742
2019,2,1000164,1786
2019,2,1000163,2807
2019,2,1000162,2824
2019,2,1000161,4330
2019,2,1000160,5263
2019,2,1000159,12753
2019,2,1000158,8047
2019,2,1000157,5244
2019,2,1000156,4152
2019,2,1000155,4443
2019,2,1000154,4259
2019,2,1000153,8966
2019,2,1000152,12146
2019,2,1000151,8136
2019,2,1000150,2393
2019,2,1000149,4295
2019,2,1000148,4580
2019,2,1000147,1566
2019,2,1000146,2118
2019,2,1000145,1520
2019,2,1000144,3273
2019,2,1000143,7166
2019,2,1000142,9072
2019,2,1000141,1603
2019,2,1000140,1612
2019,2,1000139,8033
2019,2,1000138,5593
2019,2,1000137,9580
2019,2,1000136,3214
2019,2,1000135,3969
2019,2,1000134,3329
2019,2,1000133,3797
2019,2,1000132,10178
2019,2,1000131,2184
2019,2,1000130,2418
2019,2,1000129,3597
2019,2,1000128,4327
2019,2,1000127,6290
2019,2,1000126,1861
2019,2,1000125,1364
2019,2,1000124,12953
2019,2,1000123,1171
2019,2,1000122,4577
2019,2,1000121,25249
2019,2,1000120,30716
2019,2,1000119,4770
2019,2,1000118,11724
2019,2,1000117,2947
2019,2,1000116,16569
2019,2,1000115,33395
2019,2,1000114,25047
2019,2,1000113,30097
2019,2,1000112,12547
2019,2,1000111,1465
2019,2,1000110,44749
2019,2,1000109,57714
2019,2,1000108,27076
2019,2,1000107,35179
2019,2,1000106,37415
2019,2,1000105,7418
2019,2,1000104,30123
2019,2,1000103,15431
2019,2,1000102,7462
2019,2,1000101,1475
2019,2,1000100,6826
2019,2,1000099,9261
2019,2,1000098,1218
2019,2,1000097,1764
2019,2,1000096,11138
2019,2,1000095,2806
2019,2,1000094,3070
2019,2,1000093,12883
2019,2,1000092,58712
2019,2,1000091,33878
2019,2,1000090,1669
2019,2,1000089,1570
2019,2,1000088,9931
2019,2,1000087,6036
2019,2,1000086,1974
2019,2,1000085,4972
2019,2,1000084,8040
2019,2,1000083,6640
2019,2,1000082,22178
2019,2,1000081,11320
2019,2,1000080,33148
2019,2,1000079,46231
2019,2,1000078,23870
2019,2,1000077,54025
2019,2,1000076,7644
2019,2,1000075,10077
2019,2,1000074,8965
2019,2,1000073,14567
2019,2,1000072,1171
2019,2,1000071,10780
2019,2,1000070,9790
2019,2,1000069,9172
2019,2,1000068,26676
2019,2,1000067,10081
2019,2,1000066,15765
2019,2,1000065,16922
2019,2,1000064,1300
2019,2,1000063,5927
2019,2,1000062,6345
2019,2,1000061,5222
2019,2,1000060,3753
2019,2,1000059,3589
2019,2,1000058,21952
2019,2,1000057,13752
2019,2,1000056,12369
2019,2,1000055,5556
2019,2,1000054,4204
2019,2,1000053,6792
2019,2,1000052,5325
2019,2,1000051,7264
2019,2,1000050,2747
2019,2,1000049,5017
2019,2,1000048,50117
2019,2,1000047,30673
2019,2,1000046,13011
2019,2,1000045,36728
2019,2,1000044,27804
2019,2,1000043,4470
2019,2,1000042,13278
2019,2,1000041,8955
2019,2,1000040,75486
2019,2,1000039,159325
2019,2,1000038,7383
2019,2,1000037,13400
2019,2,1000036,12874
2019,2,1000035,8384
2019,2,1000034,9643
2019,2,1000033,8877
2019,2,1000032,7667
2019,2,1000031,2890
2019,2,1000030,9534
2019,2,1000029,5013
2019,2,1000028,4623
2019,2,1000027,6750
2019,2,1000026,1182
2019,2,1000025,1565
2019,2,1000024,1338
2019,2,1000023,2536
2019,2,1000022,2332
2019,2,1000021,2381
2019,2,1000020,3025
2019,2,1000019,5653
2019,2,1000018,4398
2019,2,1000017,12506
2019,2,1000016,11104
2019,2,1000015,23221
2019,2,1000014,23379
2019,2,1000013,27532
2019,2,1000012,1899
2019,2,1000011,6847
2019,2,1000010,14045
2019,2,1000009,5338
2019,2,1000008,5645
2019,2,1000007,7360
2019,2,1000006,22845
2019,2,1000005,1820
2019,2,1000004,2196
2019,2,1000003,44890
2019,2,1000002,13270
2019,2,1000001,24345
2019,1,1001010,3706
2019,1,1001009,3670
2019,1,1001008,5097
2019,1,1001007,2109
2019,1,1001006,1756
2019,1,1001005,6805
2019,1,1001004,7705
2019,1,1001003,4485
2019,1,1001002,4122
2019,1,1001001,5017
2019,1,1001000,7227
2019,1,1000999,7620
2019,1,1000998,2920
2019,1,1000997,2984
2019,1,1000996,4167
2019,1,1000995,5500
2019,1,1000994,4800
2019,1,1000993,15156
2019,1,1000992,3966
2019,1,1000991,5554
2019,1,1000990,4676
2019,1,1000989,3802
2019,1,1000988,3877
2019,1,1000987,2561
2019,1,1000986,8647
2019,1,1000985,1483
2019,1,1000984,15210
2019,1,1000983,10613
2019,1,1000982,5239
2019,1,1000981,4364
2019,1,1000980,4331
2019,1,1000979,3991
2019,1,1000978,3562
2019,1,1000977,3887
2019,1,1000976,885
2019,1,1000975,601
2019,1,1000974,2695
2019,1,1000973,2452
2019,1,1000972,2294
2019,1,1000971,1966
2019,1,1000970,756
2019,1,1000969,1623
2019,1,1000968,4162
2019,1,1000967,8628
2019,1,1000966,4139
2019,1,1000965,2558
2019,1,1000964,10304
2019,1,1000963,22045
2019,1,1000962,12078
2019,1,1000961,9566
2019,1,1000960,16135
2019,1,1000959,28305
2019,1,1000958,37156
2019,1,1000957,8777
2019,1,1000956,9966
2019,1,1000955,9178
2019,1,1000954,8059
2019,1,1000953,18537
2019,1,1000952,5865
2019,1,1000951,10895
2019,1,1000950,7835
2019,1,1000949,8532
2019,1,1000948,5349
2019,1,1000947,7377
2019,1,1000946,5723
2019,1,1000945,8434
2019,1,1000944,4586
2019,1,1000943,5240
2019,1,1000942,1403
2019,1,1000941,4762
2019,1,1000940,2354
2019,1,1000939,14090
2019,1,1000938,16219
2019,1,1000937,21869
2019,1,1000936,25282
2019,1,1000935,71886
2019,1,1000934,8245
2019,1,1000933,3234
2019,1,1000932,33327
2019,1,1000931,104684
2019,1,1000930,105329
2019,1,1000929,14787
2019,1,1000928,973
2019,1,1000927,14378
2019,1,1000926,23079
2019,1,1000925,23714
2019,1,1000924,16727
2019,1,1000923,29081
2019,1,1000922,8451
2019,1,1000921,17925
2019,1,1000920,3354
2019,1,1000919,6984
2019,1,1000918,11468
2019,1,1000917,6446
2019,1,1000916,42906
2019,1,1000915,13361
2019,1,1000914,26004
2019,1,1000913,27829
2019,1,1000912,74278
2019,1,1000911,11788
2019,1,1000910,16151
2019,1,1000909,27530
2019,1,1000908,30146
2019,1,1000907,25809
2019,1,1000906,23357
2019,1,1000905,20885
2019,1,1000904,30855
2019,1,1000903,5798
2019,1,1000902,31074
2019,1,1000901,41788
2019,1,1000900,36498
2019,1,1000899,14893
2019,1,1000898,36040
2019,1,1000897,10035
2019,1,1000896,22295
2019,1,1000895,11741
2019,1,1000894,21595
2019,1,1000893,18717
2019,1,1000892,788
2019,1,1000891,15736
2019,1,1000890,23510
2019,1,1000889,21773
2019,1,1000888,24843
2019,1,1000887,31136
2019,1,1000886,13508
2019,1,1000885,26713
2019,1,1000884,6083
2019,1,1000883,24157
2019,1,1000882,5635
2019,1,1000881,13140
2019,1,1000880,10721
2019,1,1000879,15010
2019,1,1000878,8019
2019,1,1000877,9806
2019,1,1000876,15824
2019,1,1000875,11810
2019,1,1000874,7554
2019,1,1000873,10593
2019,1,1000872,7260
2019,1,1000871,14290
2019,1,1000870,15327
2019,1,1000869,13101
2019,1,1000868,14740
2019,1,1000867,4399
2019,1,1000866,4773
2019,1,1000865,22377
2019,1,1000864,5251
2019,1,1000863,5910
2019,1,1000862,9605
2019,1,1000861,3821
2019,1,1000860,36508
2019,1,1000859,14632
2019,1,1000858,7064
2019,1,1000857,14981
