year,quarter,district,s_worker
2019,2,1000515,335
2019,2,1000514,244
2019,2,1000513,143
2019,2,1000512,133
2019,2,1000511,270
2019,2,1000510,305
2019,2,1000509,492
2019,2,1000508,727
2019,2,1000507,72
2019,2,1000506,775
2019,2,1000505,457
2019,2,1000504,1505
2019,2,1000503,728
2019,2,1000502,577
2019,2,1000501,304
2019,2,1000500,694
2019,2,1000499,2793
2019,2,1000498,515
2019,2,1000497,1785
2019,2,1000496,328
2019,2,1000495,375
2019,2,1000494,1165
2019,2,1000493,1079
2019,2,1000492,768
2019,2,1000491,2503
2019,2,1000490,57
2019,2,1000489,34
2019,2,1000488,573
2019,2,1000487,3813
2019,2,1000486,75
2019,2,1000485,485
2019,2,1000484,1594
2019,2,1000483,252
2019,2,1000482,673
2019,2,1000481,2453
2019,2,1000480,3061
2019,2,1000479,345
2019,2,1000478,1080
2019,2,1000477,1373
2019,2,1000476,379
2019,2,1000475,275
2019,2,1000474,1933
2019,2,1000473,1940
2019,2,1000472,822
2019,2,1000471,470
2019,2,1000470,1036
2019,2,1000469,1815
2019,2,1000468,1992
2019,2,1000467,2239
2019,2,1000466,939
2019,2,1000465,786
2019,2,1000464,245
2019,2,1000463,295
2019,2,1000462,371
2019,2,1000461,453
2019,2,1000460,162
2019,2,1000459,310
2019,2,1000458,608
2019,2,1000457,272
2019,2,1000456,145
2019,2,1000455,159
2019,2,1000454,239
2019,2,1000453,120
2019,2,1000452,4645
2019,2,1000451,5040
2019,2,1000450,359
2019,2,1000449,405
2019,2,1000448,353
2019,2,1000447,255
2019,2,1000446,681
2019,2,1000445,175
2019,2,1000444,87
2019,2,1000443,342
2019,2,1000442,294
2019,2,1000441,446
2019,2,1000440,294
2019,2,1000439,422
2019,2,1000438,351
2019,2,1000437,428
2019,2,1000436,326
2019,2,1000435,246
2019,2,1000434,82
2019,2,1000433,310
2019,2,1000432,92
2019,2,1000431,57
2019,2,1000430,284
2019,2,1000429,209
2019,2,1000428,634
2019,2,1000427,174
2019,2,1000426,342
2019,2,1000425,209
2019,2,1000424,443
2019,2,1000423,256
2019,2,1000422,328
2019,2,1000421,215
2019,2,1000420,145
2019,2,1000419,174
2019,2,1000418,218
2019,2,1000417,125
2019,2,1000416,184
2019,2,1000415,257
2019,2,1000414,28
2019,2,1000413,904
2019,2,1000412,259
2019,2,1000411,276
2019,2,1000410,194
2019,2,1000409,120
2019,2,1000408,133
2019,2,1000407,57
2019,2,1000406,139
2019,2,1000405,353
2019,2,1000404,389
2019,2,1000403,292
2019,2,1000402,587
2019,2,1000401,315
2019,2,1000400,197
2019,2,1000399,158
2019,2,1000398,143
2019,2,1000397,190
2019,2,1000396,161
2019,2,1000395,81
2019,2,1000394,298
2019,2,1000393,176
2019,2,1000392,82
2019,2,1000391,188
2019,2,1000390,133
2019,2,1000389,269
2019,2,1000388,338
2019,2,1000387,291
2019,2,1000386,397
2019,2,1000385,253
2019,2,1000384,276
2019,2,1000383,199
2019,2,1000382,271
2019,2,1000381,1271
2019,2,1000380,651
2019,2,1000379,1373
2019,2,1000378,280
2019,2,1000377,183
2019,2,1000376,169
2019,2,1000375,199
2019,2,1000374,253
2019,2,1000373,186
2019,2,1000372,272
2019,2,1000371,224
2019,2,1000370,214
2019,2,1000369,135
2019,2,1000368,217
2019,2,1000367,70
2019,2,1000366,164
2019,2,1000365,346
2019,2,1000364,204
2019,2,1000363,411
2019,2,1000362,327
2019,2,1000361,282
2019,2,1000360,843
2019,2,1000359,269
2019,2,1000358,228
2019,2,1000357,104
2019,2,1000356,137
2019,2,1000355,80
2019,2,1000354,119
2019,2,1000353,114
2019,2,1000352,389
2019,2,1000351,82
2019,2,1000350,134
2019,2,1000349,358
2019,2,1000348,82
2019,2,1000347,187
2019,2,1000346,798
2019,2,1000345,146
2019,2,1000344,89
2019,2,1000343,245
2019,2,1000342,436
2019,2,1000341,31
2019,2,1000340,130
2019,2,1000339,446
2019,2,1000338,318
2019,2,1000337,941
2019,2,1000336,189
2019,2,1000335,99
2019,2,1000334,116
2019,2,1000333,376
2019,2,1000332,76
2019,2,1000331,291
2019,2,1000330,152
2019,2,1000329,65
2019,2,1000328,51
2019,2,1000327,93
2019,2,1000326,122
2019,2,1000325,27
2019,2,1000324,523
2019,2,1000323,223
2019,2,1000322,286
2019,2,1000321,153
2019,2,1000320,57
2019,2,1000319,320
2019,2,1000318,373
2019,2,1000317,71
2019,2,1000316,127
2019,2,1000315,194
2019,2,1000314,293
2019,2,1000313,216
2019,2,1000312,327
2019,2,1000311,187
2019,2,1000310,278
2019,2,1000309,374
2019,2,1000308,487
2019,2,1000307,83
2019,2,1000306,442
2019,2,1000305,571
2019,2,1000304,307
2019,2,1000303,99
2019,2,1000302,380
2019,2,1000301,260
2019,2,1000300,138
2019,2,1000299,496
2019,2,1000298,106
2019,2,1000297,140
2019,2,1000296,299
2019,2,1000295,184
2019,2,1000294,497
2019,2,1000293,62
2019,2,1000292,295
2019,2,1000291,362
2019,2,1000290,355
2019,2,1000289,145
2019,2,1000288,731
2019,2,1000287,669
2019,2,1000286,224
2019,2,1000285,474
2019,2,1000284,797
2019,2,1000283,56
2019,2,1000282,554
2019,2,1000281,253
2019,2,1000280,742
2019,2,1000279,37
2019,2,1000278,275
2019,2,1000277,346
2019,2,1000276,398
2019,2,1000275,238
2019,2,1000274,1136
2019,2,1000273,222
2019,2,1000272,106
2019,2,1000271,166
2019,2,1000270,396
2019,2,1000269,316
2019,2,1000268,390
2019,2,1000267,111
2019,2,1000266,76
2019,2,1000265,322
2019,2,1000264,212
2019,2,1000263,84
2019,2,1000262,100
2019,2,1000261,154
2019,2,1000260,758
2019,2,1000259,145
2019,2,1000258,419
2019,2,1000257,439
2019,2,1000256,191
2019,2,1000255,241
