year,quarter,district,facil_total,bank,pharm,theater,subway_st,bus_st
2019,2,1000003,41,1,,1,,4
2019,2,1000098,18,,2,,,1
2019,2,1000020,17,,1,,,2
2019,2,1000411,11,1,1,,,4
2019,2,1000060,6,,,,,2
2019,2,1000710,25,1,2,,,2
2019,2,1001132,10,2,,,,1
2019,2,1000438,22,,6,,,1
2019,2,1000761,29,1,2,,1,4
2019,2,1000380,27,,,,,8
2019,2,1000133,22,1,1,,,4
2019,2,1001031,21,1,,,,9
2019,2,1000918,3,,,,,1
2019,2,1001125,19,1,,1,,2
2019,2,1000040,22,,5,,,
2019,2,1000704,12,,2,,,4
2019,2,1001153,29,,3,,,5
2019,2,1001139,19,1,1,,1,4
2019,2,1000513,14,,3,,,1
2019,2,1000117,7,,1,,,2
2019,2,1001184,38,1,,,,7
2019,2,1000756,13,,2,,,4
2019,2,1000362,8,,,,,2
2019,2,1000643,12,,1,,,
2019,2,1000937,17,2,2,,1,
2019,2,1001487,10,,2,,,2
2019,2,1000976,8,,1,,,3
2019,2,1001263,73,2,8,,2,8
2019,2,1000927,16,1,1,2,,2
2019,2,1001075,36,1,3,1,,1
2019,2,1000632,30,,2,,1,4
2019,2,1000232,16,,2,,,7
2019,2,1000706,3,,1,,,
2019,2,1001124,26,1,3,,,3
2019,2,1000077,25,1,4,,,3
2019,2,1001253,25,2,3,,1,4
2019,2,1000296,17,,3,,,4
2019,2,1000968,26,1,3,,,3
2019,2,1000572,12,,1,,,5
2019,2,1001362,4,,1,,,2
2019,2,1001296,17,,4,,,1
2019,2,1001051,46,6,9,,,10
2019,2,1000085,16,,2,1,,3
2019,2,1001330,43,,6,,1,4
2019,2,1000360,46,2,6,,1,5
2019,2,1000454,30,1,2,,,3
2019,2,1000189,14,1,2,,,1
2019,2,1000291,6,1,,,,
2019,2,1001329,25,1,3,,,1
2019,2,1001084,49,3,3,,1,4
2019,2,1000614,21,1,2,,1,3
2019,2,1001052,36,8,2,,,5
2019,2,1001284,10,2,1,,1,
2019,2,1001215,45,7,2,1,,12
2019,2,1001045,73,2,12,,,3
2019,2,1000084,19,1,2,,,1
2019,2,1000069,9,,2,,,1
2019,2,1000551,11,1,2,,,3
2019,2,1001173,87,2,10,1,1,12
2019,2,1000973,13,,3,,,1
2019,2,1000790,9,,1,,,
2019,2,1001021,30,6,,,,14
2019,2,1000749,1,,,,,
2019,2,1000275,1,,,,,1
2019,2,1000994,1,,,,,1
2019,2,1000050,1,,,,,
2019,2,1001408,1,,,,,
2019,2,1000762,1,,,,,
2019,2,1001380,3,,1,,,1
2019,2,1000781,8,,3,1,,1
2019,2,1000326,3,,,,,
2019,2,1001345,1,,,,,1
2019,2,1000215,8,,1,,,2
2019,2,1000700,7,,1,,,1
2019,2,1000869,6,,1,,,
2019,2,1000148,13,,2,,,1
2019,2,1000483,7,,,,,1
2019,2,1000969,3,,,,,
2019,2,1001421,3,,,,,
2019,2,1000317,1,,,,,
2019,2,1000517,8,,1,,,
2019,2,1000770,4,,,,,1
2019,2,1000231,19,2,1,,,3
2019,2,1001451,7,,1,,,1
2019,2,1001324,5,1,1,,,
2019,2,1000919,8,1,1,,,
2019,2,1000625,12,,1,,,1
2019,2,1000890,10,1,,,,2
2019,2,1000709,7,,1,,,3
2019,2,1000975,9,,1,,,3
2019,2,1000547,9,1,,,,1
2019,2,1000716,10,,,,,6
2019,2,1000338,10,1,1,,,
2019,2,1000285,7,,,,,1
2019,2,1000896,16,,2,,,2
2019,2,1000366,9,,2,,,1
2019,2,1000289,10,,1,,,5
2019,2,1000265,9,,,,,2
2019,2,1000035,5,,1,,,1
2019,2,1001264,16,1,1,2,,2
2019,2,1000865,10,,,,,
2019,2,1001013,9,2,1,1,,3
2019,2,1000626,9,,,,,1
2019,2,1000922,11,,,,,2
2019,2,1000440,19,,3,,,4
2019,2,1000397,10,,3,,,2
2019,2,1000622,10,,,,,5
2019,2,1000405,14,,1,,,3
2019,2,1000939,22,,2,,,1
2019,2,1000540,14,,2,,,2
2019,2,1000530,6,,1,,,2
2019,2,1000456,3,,1,,,
2019,2,1000920,12,,2,,,1
2019,2,1000610,16,,1,,,7
2019,2,1000064,11,,3,,,2
2019,2,1001454,2,,1,,,
2019,2,1000220,19,,2,,,2
2019,2,1000181,10,,3,,,1
2019,2,1000343,4,,2,,,1
2019,2,1001333,5,,1,,,1
2019,2,1000652,14,,2,,,7
2019,2,1001323,13,,2,,,2
2019,2,1000145,13,,2,,,
2019,2,1000885,14,2,1,,,2
2019,2,1001161,12,2,1,,,2
2019,2,1001171,13,3,,,1,3
2019,2,1000962,28,3,4,,,1
2019,2,1000272,14,2,3,,,2
2019,2,1000162,16,,3,,,1
2019,2,1000793,10,,,,,4
2019,2,1000559,13,,2,,,4
2019,2,1000669,14,,,,,4
2019,2,1000462,14,,4,,,1
2019,2,1000465,2,,,,,1
2019,2,1000204,7,,1,,,2
2019,2,1000345,4,,,,,2
2019,2,1001029,27,3,2,,1,3
2019,2,1000365,18,,1,,,10
2019,2,1001313,14,1,3,,,2
2019,2,1001231,30,3,2,,2,4
2019,2,1000665,7,,,,,1
2019,2,1001374,11,,2,,,
2019,2,1001143,19,1,,,,2
2019,2,1001244,11,1,5,,,2
2019,2,1000138,12,,,,,1
2019,2,1000813,23,,,,,3
2019,2,1000005,8,,,1,,3
2019,2,1000488,19,,,,,4
2019,2,1000803,3,,,,,
2019,2,1000284,26,,2,,,5
2019,2,1000491,7,1,,,,
2019,2,1000026,25,1,,4,,8
2019,2,1000914,28,2,4,1,,2
2019,2,1000727,10,,2,,,1
2019,2,1000493,15,,1,,,2
2019,2,1000792,8,,1,,,2
2019,2,1000681,7,,,,,
2019,2,1000655,13,,,,,8
2019,2,1000584,12,,2,,,5
2019,2,1000725,6,,,,,1
2019,2,1000991,11,1,1,,,1
