year,quarter,district,floatpop
2014,1,1000732,420416
2014,1,1000733,139076
2014,1,1000734,62898
2014,1,1000735,430632
2014,1,1000736,174918
2014,1,1000737,174815
2014,1,1000738,39959
2014,1,1000739,177882
2014,1,1000740,189757
2014,1,1000741,142891
2014,1,1000742,90241
2014,1,1000743,446081
2014,1,1000744,187909
2014,1,1000745,98904
2014,1,1000746,469792
2014,1,1000747,83547
2014,1,1000748,71528
2014,1,1000749,47223
2014,1,1000750,153109
2014,1,1000751,90081
2014,1,1000752,89042
2014,1,1000753,158607
2014,1,1000754,175330
2014,1,1000755,256954
2014,1,1000756,85271
2014,1,1000757,291691
2014,1,1000758,96550
2014,1,1000759,222536
2014,1,1000760,234099
2014,1,1000761,208053
2014,1,1000762,217052
2014,1,1000763,71416
2014,1,1000764,298743
2014,1,1000765,124967
2014,1,1000766,157013
2014,1,1000767,104463
2014,1,1000768,316713
2014,1,1000769,12266
2014,1,1000770,91404
2014,1,1000771,141782
2014,1,1000772,122262
2014,1,1000773,196374
2014,1,1000774,219509
2014,1,1000775,88020
2014,1,1000776,134313
2014,1,1000777,281959
2014,1,1000778,108995
2014,1,1000779,293274
2014,1,1000780,234044
2014,1,1000781,274163
2014,1,1000782,140205
2014,1,1000783,320415
2014,1,1000784,281914
2014,1,1000785,444427
2014,1,1000786,291089
2014,1,1000787,305645
2014,1,1000788,551353
2014,1,1000789,154535
2014,1,1000790,267622
2014,1,1000791,217909
2014,1,1000792,322369
2014,1,1000793,316298
2014,1,1000794,87192
2014,1,1000795,248376
2014,1,1000796,360412
2014,1,1000797,265057
2014,1,1000798,268955
2014,1,1000799,125217
2014,1,1000800,127400
2014,1,1000801,457561
2014,1,1000802,423813
2014,1,1000803,252621
2014,1,1000804,266060
2014,1,1000805,50184
2014,1,1000806,141032
2014,1,1000807,334677
2014,1,1000808,406330
2014,1,1000809,158555
2014,1,1000810,117628
2014,1,1000811,128812
2014,1,1000812,312525
2014,1,1000813,116560
2014,1,1000814,117322
2014,1,1000815,476645
2014,1,1000816,212508
2014,1,1000817,186126
2014,1,1000818,178921
2014,1,1000819,114323
2014,1,1000820,351602
2014,1,1000821,586359
2014,1,1000822,201692
2014,1,1000823,421125
2014,1,1000824,464457
2014,1,1000825,156251
2014,1,1000826,250732
2014,1,1000827,171449
2014,1,1000828,124996
2014,1,1000829,300409
2014,1,1000830,160533
2014,1,1000831,362873
2014,1,1000832,336168
2014,1,1000833,194789
2014,1,1000834,240768
2014,1,1000835,221836
2014,1,1000836,475745
2014,1,1000837,410860
2014,1,1000838,792675
2014,1,1000839,382938
2014,1,1000840,180013
2014,1,1000841,133055
2014,1,1000842,205290
2014,1,1000843,234025
2014,1,1000844,151409
2014,1,1000845,251397
2014,1,1000846,448242
2014,1,1000847,257151
2014,1,1000848,329008
2014,1,1000849,668201
2014,1,1000850,66076
2014,1,1000851,172176
2014,1,1000852,299563
2014,1,1000853,288525
2014,1,1000854,158928
2014,1,1000855,149092
2014,1,1000856,367953
2014,1,1000857,231912
2014,1,1000858,68458
2014,1,1000859,208211
2014,1,1000860,147104
2014,1,1000861,132076
2014,1,1000862,126504
2014,1,1000863,304318
2014,1,1000864,230024
2014,1,1000865,231507
2014,1,1000866,265038
2014,1,1000867,95606
2014,1,1000868,72055
2014,1,1000869,129095
2014,1,1000870,234072
2014,1,1000871,165928
2014,1,1000872,298498
2014,1,1000873,101339
2014,1,1000874,132368
2014,1,1000875,150173
2014,1,1000876,127071
2014,1,1000877,170027
2014,1,1000878,159052
2014,1,1000879,307300
2014,1,1000880,255203
2014,1,1000881,178390
2014,1,1000882,118903
2014,1,1000883,183341
2014,1,1000884,169980
2014,1,1000885,521641
2014,1,1000886,214144
2014,1,1000887,181041
2014,1,1000888,611872
2014,1,1000889,161817
2014,1,1000890,179276
2014,1,1000891,119026
2014,1,1000892,22047
2014,1,1000893,211478
2014,1,1000894,266558
2014,1,1000895,258872
2014,1,1000896,772196
2014,1,1000897,174276
2014,1,1000898,284396
2014,1,1000899,183319
2014,1,1000900,293233
2014,1,1000901,82495
2014,1,1000902,248901
2014,1,1000903,214939
2014,1,1000904,488051
2014,1,1000905,72382
2014,1,1000906,160838
2014,1,1000907,414230
2014,1,1000908,220163
2014,1,1000909,187110
2014,1,1000910,84070
2014,1,1000911,57355
2014,1,1000912,113053
2014,1,1000913,531108
2014,1,1000914,580302
2014,1,1000915,111779
2014,1,1000916,148320
2014,1,1000917,179976
2014,1,1000918,87735
2014,1,1000919,380387
2014,1,1000920,462135
2014,1,1000921,226370
2014,1,1000922,614298
2014,1,1000923,603584
2014,1,1000924,138630
2014,1,1000925,560667
2014,1,1000926,930516
2014,1,1000927,359953
2014,1,1000928,144311
2014,1,1000929,124122
2014,1,1000930,932868
2014,1,1000931,484256
2014,1,1000932,269790
2014,1,1000933,213416
2014,1,1000934,334346
2014,1,1000935,153777
2014,1,1000936,288592
2014,1,1000937,242724
2014,1,1000938,130074
2014,1,1000939,139790
2014,1,1000940,283008
2014,1,1000941,292667
2014,1,1000942,541355
2014,1,1000943,364222
2014,1,1000944,352089
2014,1,1000945,426240
2014,1,1000946,529330
2014,1,1000947,228080
2014,1,1000948,235563
2014,1,1000949,260798
2014,1,1000950,294789
2014,1,1000951,368534
2014,1,1000952,257418
2014,1,1000953,418662
2014,1,1000954,229539
2014,1,1000955,447637
2014,1,1000956,266843
2014,1,1000957,483765
2014,1,1000958,707454
2014,1,1000959,284352
2014,1,1000960,294893
2014,1,1000961,321456
2014,1,1000962,179952
2014,1,1000963,233551
2014,1,1000964,236405
2014,1,1000965,184421
2014,1,1000966,387116
2014,1,1000967,210340
2014,1,1000968,269066
2014,1,1000969,25250
2014,1,1000970,55527
2014,1,1000971,138871
2014,1,1000972,447362
2014,1,1000973,455515
2014,1,1000974,165563
2014,1,1000975,127438
2014,1,1000976,159150
2014,1,1000977,221908
2014,1,1000978,180819
2014,1,1000979,208608
2014,1,1000980,246900
2014,1,1000981,399803
2014,1,1000982,160163
2014,1,1000983,393475
2014,1,1000984,267124
2014,1,1000985,264732
2014,1,1000986,364524
2014,1,1000987,130524
2014,1,1000988,282222
2014,1,1000989,134484
2014,1,1000990,260155
2014,1,1000991,255366
2014,1,1000992,238247
2014,1,1000993,201123
2014,1,1000994,115694
2014,1,1000995,1342090
2014,1,1000996,332418
2014,1,1000997,215208
2014,1,1000998,214335
2014,1,1000999,417435
2014,1,1001000,215418
2014,1,1001001,543026
2014,1,1001002,462215
2014,1,1001003,107944
2014,1,1001004,336075
2014,1,1001005,260389
2014,1,1001006,182546
2014,1,1001007,251565
2014,1,1001008,121310
2014,1,1001009,661552
2014,1,1001010,195123
2014,1,1001011,466998
2014,1,1001012,22565
2014,1,1001013,22002
2014,1,1001014,15342
2014,1,1001015,275795
2014,1,1001016,213661
2014,1,1001017,141540
2014,1,1001018,269489
2014,1,1001019,73153
2014,1,1001021,75873
2014,1,1001022,282976
2014,1,1001023,183132
2014,1,1001024,496965
2014,1,1001025,2224178
2014,1,1001026,42823
2014,1,1001027,757983
2014,1,1001028,205723
2014,1,1001029,109451
2014,1,1001030,847885
2014,1,1001031,1033469
2014,1,1001032,221712
2014,1,1001033,248158
2014,1,1001034,516061
2014,1,1001035,91451
2014,1,1001036,44826
2014,1,1001037,743386
2014,1,1001038,749168
2014,1,1001039,623503
2014,1,1001040,737617
2014,1,1001041,834031
2014,1,1001042,436756
2014,1,1001043,776283
2014,1,1001044,978907
2014,1,1001045,864394
2014,1,1001046,949905
2014,1,1001047,468328
2014,1,1001048,656603
2014,1,1001049,371492
2014,1,1001050,1142103
2014,1,1001051,959541
2014,1,1001052,681318
2014,1,1001053,89136
2014,1,1001054,236334
2014,1,1001055,152560
2014,1,1001056,1007883
2014,1,1001057,1077261
2014,1,1001058,246708
2014,1,1001059,264449
2014,1,1001060,31946
2014,1,1001061,442284
2014,1,1001062,1362030
2014,1,1001063,1021541
2014,1,1001064,52955
2014,1,1001065,111476
2014,1,1001066,1801901
2014,1,1001067,288313
2014,1,1001068,94404
2014,1,1001069,109238
2014,1,1001070,191936
2014,1,1001071,280620
2014,1,1001072,130956
2014,1,1001073,1568939
2014,1,1001074,122304
2014,1,1001075,917523
2014,1,1001076,291846
2014,1,1001077,805905
2014,1,1001078,2077334
2014,1,1001079,49363
2014,1,1001080,105299
2014,1,1001081,845782
2014,1,1001082,3651068
2014,1,1001083,93967
2014,1,1001084,629596
2014,1,1001085,3196464
2014,1,1001087,1281900
2014,1,1001088,1098046
2014,1,1001089,129948
2014,1,1001090,249146
2014,1,1001091,230236
2014,1,1001092,1122203
2014,1,1001093,645864
2014,1,1001094,97080
2014,1,1001095,1839721
2014,1,1001096,159136
2014,1,1001097,31861
2014,1,1001098,1138756
2014,1,1001099,723236
2014,1,1001100,274533
2014,1,1001101,268782
2014,1,1001102,393670
2014,1,1001103,147262
2014,1,1001104,167626
2014,1,1001105,357095
2014,1,1001106,531030
2014,1,1001107,502606
2014,1,1001108,381864
2014,1,1001109,1036427
2014,1,1001110,442741
2014,1,1001111,550843
2014,1,1001112,629320
2014,1,1001113,54576
2014,1,1001114,212110
2014,1,1001115,841948
2014,1,1001116,57436
2014,1,1001117,1338519
2014,1,1001118,2636
2014,1,1001119,1003504
2014,1,1001120,467117
2014,1,1001121,318921
2014,1,1001122,90020
2014,1,1001123,611767
2014,1,1001124,301123
2014,1,1001125,169787
2014,1,1001126,27188
2014,1,1001127,940473
2014,1,1001128,143846
2014,1,1001129,252993
2014,1,1001130,133675
2014,1,1001131,74407
2014,1,1001132,89646
2014,1,1001133,322710
2014,1,1001134,586297
2014,1,1001135,3355251
2014,1,1001136,169656
2014,1,1001137,125192
2014,1,1001138,615421
2014,1,1001139,369393
2014,1,1001140,1767255
2014,1,1001141,2087312
2014,1,1001142,39942
2014,1,1001143,345558
2014,1,1001144,518641
2014,1,1001145,54166
2014,1,1001146,8781
2014,1,1001147,60135
2014,1,1001148,65598
2014,1,1001149,195702
2014,1,1001150,638934
2014,1,1001151,147162
2014,1,1001152,148587
2014,1,1001153,301803
2014,1,1001154,77336
2014,1,1001155,346509
2014,1,1001156,591253
2014,1,1001157,87536
2014,1,1001158,397186
2014,1,1001159,101861
2014,1,1001160,307678
2014,1,1001161,56268
2014,1,1001162,321118
