year,quarter,district,resid_total,household_total,household_apt
2019,2,1001041,1480,928,511
2019,2,1001040,1168,999,0
2019,2,1001039,1764,1361,0
2019,2,1001038,125,74,0
2019,2,1001037,1698,862,136
2019,2,1001036,406,198,0
2019,2,1001035,572,294,0
2019,2,1001034,1227,639,0
2019,2,1001033,1204,483,0
2019,2,1001032,1647,1132,0
2019,2,1001031,687,582,0
2019,2,1001030,910,478,0
2019,2,1001029,8,4,0
2019,2,1001028,560,449,0
2019,2,1001027,1748,1584,13
2019,2,1001026,358,234,0
2019,2,1001025,6715,5444,0
2019,2,1001024,929,417,82
2019,2,1001023,681,432,160
2019,2,1001022,924,633,0
2019,2,1001021,27,25,0
2019,2,1001019,93,60,0
2019,2,1001018,1856,1141,0
2019,2,1001017,307,230,0
2019,2,1001016,1689,1318,0
2019,2,1001015,1199,868,0
2019,2,1001013,1656,526,0
2019,2,1001012,2,2,0
2019,2,1001011,1566,1027,0
2019,2,1001010,3088,1601,0
2019,2,1001009,4032,2067,39
2019,2,1001008,2323,1261,0
2019,2,1001007,2208,980,0
2019,2,1001006,4523,1738,531
2019,2,1001005,2777,1270,96
2019,2,1001004,4152,1944,302
2019,2,1001003,2704,1185,114
2019,2,1001002,4505,1858,127
2019,2,1001001,6690,2798,481
2019,2,1001000,1801,895,0
2019,2,1000999,7755,3952,684
2019,2,1000998,3215,1650,116
2019,2,1000997,2047,1067,0
2019,2,1000996,1738,1070,75
2019,2,1000995,2618,1320,0
2019,2,1000994,2561,1401,0
2019,2,1000993,1562,687,47
2019,2,1000992,3526,1328,652
2019,2,1000991,3619,1550,146
2019,2,1000990,4192,1695,429
2019,2,1000989,4987,2111,189
2019,2,1000988,4519,1978,109
2019,2,1000987,1521,675,137
2019,2,1000986,4732,2355,114
2019,2,1000985,7132,3184,302
2019,2,1000984,4757,1841,44
2019,2,1000983,3614,1351,454
2019,2,1000982,1274,509,0
2019,2,1000981,1937,966,284
2019,2,1000980,3008,1208,368
2019,2,1000979,3269,1656,122
2019,2,1000978,3651,1599,333
2019,2,1000977,2767,1274,114
2019,2,1000976,2914,1274,0
2019,2,1000975,1694,821,0
2019,2,1000974,2695,1071,0
2019,2,1000973,4286,2174,107
2019,2,1000972,5439,2458,334
2019,2,1000971,2602,1214,0
2019,2,1000970,1602,623,0
2019,2,1000969,1531,559,136
2019,2,1000968,2111,1011,70
2019,2,1000967,4215,1622,254
2019,2,1000966,1920,927,0
2019,2,1000965,2594,1021,74
2019,2,1000964,2964,1347,51
2019,2,1000963,4808,2498,22
2019,2,1000962,2715,1031,415
2019,2,1000961,1517,605,21
2019,2,1000960,3669,1520,10
2019,2,1000959,1587,760,285
2019,2,1000958,1584,976,0
2019,2,1000957,3364,1421,305
2019,2,1000956,5600,2442,399
2019,2,1000955,4454,2037,41
2019,2,1000954,6562,3534,0
2019,2,1000953,8436,3604,201
2019,2,1000952,3217,1494,17
2019,2,1000951,4794,2276,253
2019,2,1000950,4194,2092,0
2019,2,1000949,3380,1760,0
2019,2,1000948,7777,3698,18
2019,2,1000947,6311,3415,0
2019,2,1000946,6454,2998,36
2019,2,1000945,6266,3121,0
2019,2,1000944,6884,3375,0
2019,2,1000943,2499,1397,0
2019,2,1000942,3999,1907,90
2019,2,1000941,3571,1332,380
2019,2,1000940,3303,1655,0
2019,2,1000939,3038,1148,640
2019,2,1000938,1604,987,0
2019,2,1000937,1007,439,124
2019,2,1000936,1519,842,102
2019,2,1000935,415,226,0
2019,2,1000934,3439,1566,0
2019,2,1000933,2386,1011,83
2019,2,1000932,2065,1004,0
2019,2,1000931,2663,1052,480
2019,2,1000930,3491,2051,180
2019,2,1000929,1001,497,64
2019,2,1000928,1733,740,35
2019,2,1000927,2058,1117,0
2019,2,1000926,1549,801,107
2019,2,1000925,2042,844,120
2019,2,1000924,846,470,0
2019,2,1000923,2533,1183,237
2019,2,1000922,3460,1579,0
2019,2,1000921,2924,934,718
2019,2,1000920,4355,2059,19
2019,2,1000919,1730,522,394
2019,2,1000918,1246,651,26
2019,2,1000917,2821,1269,130
2019,2,1000916,1490,883,0
2019,2,1000915,1646,836,0
2019,2,1000914,3259,1513,330
2019,2,1000913,1239,761,0
2019,2,1000912,2173,806,146
2019,2,1000911,1944,842,165
2019,2,1000910,941,378,0
2019,2,1000909,2275,1013,396
2019,2,1000908,1051,661,0
2019,2,1000907,905,541,27
2019,2,1000906,1506,817,31
2019,2,1000905,694,375,0
2019,2,1000904,6062,3117,0
2019,2,1000903,3622,1613,0
2019,2,1000902,2571,1277,222
2019,2,1000901,77,37,0
2019,2,1000900,1247,655,0
2019,2,1000899,423,206,0
2019,2,1000898,1378,692,0
